年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,地址,緯度,經度
113,D0403492,台灣積體電路製造股份有限公司十八廠七期,22099131,"49,622.0401","358,455.9398","408,077.98",臺南市,半導體製造業,745台灣臺南市安定區北園二路8號,23.117125,120.2632873
113,D32A0393,安瀚視特股份有限公司台南第二工廠,70781345,"3,600.6045","9,541.269","13,141.874",臺南市,玻璃及其製品製造業,70955台灣臺南市安南區工業三路8號,23.0324796,120.1557208
113,D32A6282,聯合再生能源股份有限公司台南廠,27763753,405.4517,"20,063.472","20,468.924",臺南市,光電材料及元件製造業,709台灣臺南市安南區本田路二段518 號,23.0396329,120.1580133
113,D32A8713,可成科技股份有限公司南科工廠,69905810,"1,058.695","8,896.032","9,954.727",臺南市,鋁製造業,710台灣臺南市永康區仁愛街398號,23.0522247,120.2436
113,D32A9989,亞東工業氣體股份有限公司台南廠,22522453,"7,492.0623","23,056.1184","30,548.181",臺南市,化學原材料製造業,710台灣台灣省永康區中正北路837號,23.0531888,120.2692326
113,D32B4906,友達光電股份有限公司台南廠,84149738,159.1882,"14,284.7726","14,443.961",臺南市,光電材料及元件製造業,709台灣臺南市安南區科技一路36號,23.0384416,120.1477481
113,D9000120,精金科技股份有限公司,70750217,"5,356.271","42,560.6268","47,916.898",臺南市,光電材料及元件製造業,741台灣臺南市善化區北園一路7號,23.1232374,120.2663966
113,D9000746,台灣積體電路製造股份有限公司十四B廠,22099131,"79,117.5987","670,424.0832","749,541.682",臺南市,半導體製造業,741台灣臺南市善化區南科九路17號,23.1116704,120.2671479
113,D9001396,台灣積體電路製造股份有限公司十四廠七期,22099131,"41,640.8457","325,098.7776","366,739.623",臺南市,半導體製造業,745台灣臺南市安定區北園二路8號,23.117125,120.2632873
113,D9006435,台灣積體電路製造股份有限公司先進封測二廠二期,22099131,"1,079.6514","37,704.3177","38,783.969",臺南市,半導體製造業,741台灣臺南市善化區南科北路1之1號,23.1098041,120.2712618
113,D9007601,台灣積體電路製造股份有限公司十四廠八期,22099131,"16,770.2464","155,746.8442","172,517.091",臺南市,半導體製造業,745台灣臺南市安定區北園二路8號,23.117125,120.2632873
113,D9008466,台灣積體電路製造股份有限公司十八廠八期,22099131,"50,604.0709","363,306.5696","413,910.641",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D9008484,三福氣體股份有限公司南科分公司南科9廠,11072509,177.8339,"58,644.9191","58,822.753",臺南市,化學原材料製造業,741台灣臺南市善化區北園一路11號,23.1256763,120.2650569
113,D9703411,易昇鋼鐵股份有限公司官田廠,28098406,"21,823.5433","24,516.9622","46,340.506",臺南市,鋼鐵製造業,710台灣臺南市永康區正南一街200號,23.0281573,120.2250601
113,E1901105,台合科技股份有限公司,12691423,"61,774.3161","4,288.6396","66,062.956",高雄市,未分類其他化學製品製造業,832台灣高雄市林園區工業二路1-1號,22.5006235,120.4141427
113,E1902497,林園先進材料科技股份有限公司,42818882,"198,807.2976","22,130.1381","220,937.436",高雄市,石油及煤製品製造業,832台灣高雄市林園區石化四路1號,22.4863542,120.4087585
113,E2000554,錦州科技股份有限公司大發廠,53520959,"533,186.5692","2,520.2794","535,706.849",高雄市,化學原材料製造業,831台灣高雄市大寮區華西路8號,22.5751524,120.4229687
113,E2300675,亞東工業氣體股份有限公司大社廠,22522453,5.864,"52,137.3987","52,143.263",高雄市,化學原材料製造業,"539之5號, 三民路大社區高雄市台灣 815",22.7303411,120.3414474
113,E2301458,中國人造纖維股份有限公司汽電二廠,7066907,11.4253,"2,155.3161","2,166.741",高雄市,未分類其他製造業,815台灣高雄市大社區經建路8號,22.7247531,120.3360897
113,E2902160,群創光電股份有限公司T6廠,12800225,"3,313.2615","139,431.1031","142,744.365",高雄市,光電材料及元件製造業,821台灣高雄市路竹區路科十路11號,22.8392912,120.2518516
113,E2902964,友達光電股份有限公司高雄廠,84149738,190.02,"22,012.1888","22,202.209",高雄市,光電材料及元件製造業,821台灣高雄市路竹區路科三路9號,22.8383157,120.2588921
113,E2903416,華邦電子股份有限公司高雄廠,22099218,"14,297.3901","121,945.4517","136,242.842",高雄市,半導體製造業,821台灣高雄市路竹區路科五路35號,22.8362446,120.255735
113,E3000638,長輝事業股份有限公司,97140061,"17,134.0435","4,169.6642","21,303.708",高雄市,動植物油脂製造業,829台灣高雄市湖內區中山路一段110號,22.8795778,120.2518602
